Item Name,Qty,Price (total) (USD),Item link,Notes,
A2212 1000KV BLDC,2,$6.67,https://quartzcomponents.com/products/a2212-1000kv-bldc-drone-motor?variant=33292738625671&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=21214248935&gclid=EAIaIQobChMIp9DFk8mLlQMVpohmAh15MjexEAQYBSABEgK98vD_BwE,"Twin-motor propulsion system selected to provide redundancy and improved reliability for autonomous delivery missions. The motors operate well below maximum power during cruise, improving efficiency and reducing thermal stress.",
30A ESC,2,$12.20,https://evelta.com/2-6s-30a-bidirectional-self-starting-esc-speed-controller-model-a-b-c-d/,"Great 30A ESC wont even be pushed to max as one motor just consumes 14A at peak load, best part they support 2s-6s",
180 degree Metal gear servos for control surface actuation and payload bay,2,$10.00,https://robocraze.com/products/mg90s-servo-motor?variant=40192707297433,"good quality servos that have nice torque and life, 2 for alerons, 2 for flaps, 1 for elevator, 1 for rudder and 2 for the bay",
Pixhawk 2.4.8,1,$63.50,https://robu.in/product/pixhawk-px4-autopilot-pix-2-4-8-32-bit-flight-controller/?gad_source=1&gad_campaignid=20387462343&gclid=EAIaIQobChMIsb-z-LmMlQMV3uwWBR0jaDekEAQYASABEgL5EPD_BwE,"PixHawk running ardupilot is the best choice with keeping the budget constraints in mind, and most UAV enthusiasts already have this or even better FC on them already",
EPS foamboard,5,$2.00,local shop,"Cheap foamboard, quiet flimsy as it is alone, but with my wing manufacturing process, works perfectly",
Carbon spar 1m,1,$19.91,https://www.vortex-rc.com/product/15x13x1000mm-3k-cf-tube-carbon-fiber-fibre-tube-3k-roll-wrapped/,a carbon rod to make the tail boom out of to reduce massive CG tweaking while flying the aircraft,
18650 3000mah cells,20,$13 ,https://quartzcomponents.com/products/18650-li-ion-3-7v-3000mah-rechargeable-battery-winwaycopy?variant=45543603437802,"Cheap cells will do as well be making a big battery, C rating of these cells is 1-3 so If I make a 15000Ah Battery ill be good to go",
1045 props,3,$1.59 ,https://quartzcomponents.com/products/1045-drone-propeller-blade-set-cw-and-ccw-pair?variant=33096741224583&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20393598841&gclid=EAIaIQobChMIhJX7k_OLlQMVJsc8Ah3s4igTEAQYBiABEgJ65fD_BwE,"A set comes with 2 prop, these are cheap props so buying 3 is a no brainer",
XT60 connector,2,$0.55,https://quartzcomponents.com/products/xt60?variant=42158646624490&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20393598841&gclid=EAIaIQobChMI8NvTz_OLlQMVASmDAx2n9B2AEAQYASABEgK1CPD_BwE,For the battery,
BMS for 4s ,1,$1.29,https://quartzcomponents.com/products/4s-high-current-up-to-30a-lithium-battery-protection-board-14-8v-16-8v?variant=45728711770346&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=23330853248&gclid=EAIaIQobChMIpKr27fOLlQMVTj2DAx0Kdg8pEAQYASABEgKbA_D_BwE,A battery managemement module to avoid overcharging or discharging and balanced charging,
14AWG wire,1,$0.93,https://quartzcomponents.com/products/14awg-silicone-wire-red-1-meter-high-quality-ultra-flexible-for-battery-packs?variant=43237477908714&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=21214248935&gclid=EAIaIQobChMIr87nnvSLlQMVAsc8Ah29WDoTEAQYASABEgKVkPD_BwE,14 AWG so wires don’t heaat up,
Nickel Strips 1m,2,$0.32,https://quartzcomponents.com/products/6mm-x-0-12mm-nickel-coated-strip-for-18650-cells-1-meter?variant=44952887427306&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=19998518342&gclid=EAIaIQobChMIid3iyfSLlQMVK5lmAh3SowkdEAQYASABEgJmmfD_BwE,nickel strips to spot weld the batterypack,
rPLA filament (20-30g),1,$0.40,a spool of flament lying on your floor with barely any left on it,To make the templates for wing and to make ribs for the fuselage,
Cheap stainless steel wire,1,$4.00,local shop,For servo linkages,
Neo M8N GPS,1,21.73,https://robu.in/product/neo-m8n-gps-module-with-compass-for-apm-with-extra-connector-for-pixhawk/?gad_source=1&gad_campaignid=20387462343&gclid=EAIaIQobChMIhamm9LqMlQMVCCB7Bx2ZdCTFEAQYASABEgJD6fD_BwE,A good quality GPS which has proved itself in the community and is reliable for completely autonomous flights,
Pixhawk power module,1,$4.96,https://robu.in/product/apm-pixhawk-power-module-output-bec-3a-xt60-connector-28v-90a/?gad_source=1&gad_campaignid=17419548928&gclid=EAIaIQobChMI-rGh_LqMlQMVIWQPAh3Gww4rEAQYAiABEgJ_OfD_BwE,Just a power module for the pixhawk,
stick used for lining furnitures,1,$0.42,local shop,"a stick, very cheap, a bit on the heavier side but will do",
Paper bags,8,$0.00,Recycle,"recycled paper bags in which you buy your grocery, or any kind of packaging paper will do ",
Adhesives,1,$3.00,local shop,CA glue + 2 part epoxy + hotglue,
Jumper cables (M-F),1,$0.44,https://robu.in/product/male-to-female-jumper-wires-40-pcs-10cm/?gad_source=1&gad_campaignid=17427802559&gclid=EAIaIQobChMIipf1mPmNlQMV05JmAh1UtyQWEAQYASABEgJKCPD_BwE,Male to female jumper cables,
Jumper cables (F-F),1,$0.42,https://robu.in/product/10cm-female-female-breadboard-jumper-dupont-2-54mm-1p-1p-cable-40-pcs/?gad_source=1&gad_campaignid=17427802559&gclid=EAIaIQobChMIirHDnPmNlQMV_DSDAx3_JBWQEAYYASABEgJp8fD_BwE,Female to female jumper cables,
Flysky x6b reciever,1,$9.89,https://robu.in/product/x6b-2-4g-6ch-bus-ppm-pwm-receiver-afhds/,A flysky reciever to land the aircraft once the mission ends,
"Zip Ties, Heat Shrink, Connectors, Nichrome wire",1,$0.50,local shop,,
,,,,,
,,,,,
,,,,,
,,,,,
Total Price (USD):,177.37,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
